"reportante","tipo_de_testiga","tipo_de_victima","edad_victima","sexo_asignado_nacer","identidad_genero","orientacion_sexual","expresion_genero","tipo_de_agresora","tipo_de_agresion","subtipo_de_agresion","descripcion_incidente","dia_incidente","hora_incidente","fecha_reporte_visible","entidad","ciudad","tipo_de_lugar","subtipo_de_lugar","latitud","longitud","reporte_previo","reporte_previo_quien","satisfaccion_reporte_previo","razon_no_reporte_previo","estado_civil","nacionalidad","escolaridad","ocupacion","ingreso","seguridad_social","identidades","id"
"Testiga","ONG","Determinada","De 18 a 25 años","Hombre","Hombre cis","Gay","Neutra","Familiar o cohabitante","Expulsión del hogar","La víctima fue expulsada de su casa","Corrieron de su casa a un adulto joven por su orientación sexual. Se desconoce el nombre de la víctima directa.",2020-07-07,"12:00:00",2020-08-13 17:00:00,"Estado de México","Tenango del Valle","Privado","Casa propia o casa familiar",19.1053422,-99.5882131,"No",,,"El contacto señaló se encontraba ya en la casa de una amiga, aunque ya se tenía establecido una ruta para poder canalizarle a algún albergue.",,,,,,,,225
"Testiga","ONG","Determinada","De 36 a 40 años","Hombre","Mujer trans","No reportada","Femenina","Familiar o cohabitante","Exclusión","La víctima fue excluida de alguna actividad por su orientación sexual, identidad o expresión de género","Su pareja falleció hace cuatro años y además de la pérdida que enfrentó, reportó que a su familia no le importó y no lo acompañó en ese proceso de duelo.",2020-05-16,"12:00:00",2020-08-13 16:38:00,"Veracruz","Veracruz","Privado","Casa propia o casa familiar",19.173773,-96.1342241,"No",,,"Me lo contó la víctima y no quiere que se sepa",,,,,,,,227
"Testiga","ONG","Determinada","De 12 a 17 años","Hombre","Hombre cis","No reportada","Un poco femenina","Maestra o personal educativo","Educativa","La víctima fue sancionada o expulsada del plantel educativo sin justificación","Discriminación por parte de personal docente en contra de tres estudiantes por haberse maquillado. Les regañaron, les dijeron insultos homofóbicos y les amenazaron con suspenderlos.",2020-02-20,"12:00:00",2020-08-07 01:19:00,"Yucatán","Mérida","Público","Escuela o Universidad pública",20.9810547,-89.6561512,"Si","Instancia privada",2,,,,,,,,,230
"Personal","Personal","Determinada","De 26 a 30 años","Hombre","Persona no binaria","Gay","Femenina","Vecina","Psicológica","La víctima fue agredida psicológicamente","El señor es expareja de una tía que se mudó recientemente cerca. Amenaza mi existencia con comentarios constantemente. Se dice homofóbico abiertamente.",2020-07-27,"12:00:00",2020-08-02 15:41:00,"Hidalgo","Pachuca","Privado","Casa propia o casa familiar",20.1213329,-98.7818531,"No",,,"Creo que no habrá consecuencias de la denuncia",,,,,,,,231
"Personal","Personal","Determinada","De 18 a 25 años","Mujer","Mujer cis","Bisexual","Femenina","Amiga","Exclusión","La víctima fue excluida de alguna actividad por su orientación sexual, identidad o expresión de género","Yo estaba intentando una relación con un chico. Cuando se enteró que yo era abiertamente bisexual, me hizo a un lado completamente y decidió que ya no quería tener nada que ver conmigo porque sus anteriores parejas bisexuales lo habían engañado con mujeres y para él era un golpe en el ego. Solo juzgó y se alejó.",2020-06-14,"22:00:00",2020-07-26 22:40:00,"Aguascalientes","Aguascalientes","Redes sociales o medios de comunicación","Redes sociales",,,"No",,,"Tengo miedo de denunciar",,,,,,,,232
"Personal","Personal","Determinada","De 18 a 25 años","Mujer","Mujer cis","Bisexual","Femenina","Familiar o cohabitante","Psicológica","La víctima fue agredida psicológicamente","Al momento de revelar mi orientación sexual a toda mi familia y grupo de amigos, mi madre cuestionó cómo era posible que su hija dijera eso, preguntándome con quién me había acostado o a quién me había besado para decir eso, se negó rotundamente a aceptarlo y cuando busqué ayuda para sobrellevar esta situación mi mamá decidió raparse. Fue mi papá quien me dijo que su reacción se debió a que yo le pedí a mi papá el número de mi prima, quien vive en Cdmx y es abiertamente lesbiana y vive con su pareja la cual es terapeuta.",2020-06-14,"22:00:00",2020-07-26 22:28:00,"Aguascalientes","Aguascalientes","Privado","Casa propia o casa familiar",21.8291137,-102.2654738,"No",,,"Tengo miedo de denunciar",,,,,,,,233
"Personal","Personal","Determinada","De 18 a 25 años","Hombre","Hombre cis","Gay","Un poco masculina","Empleada de establecimiento comercial o profesionista","Impedimento de entrada, negación de servicios o derechos","La víctima fue impedida de ingresar o se le negó la venta o prestación de un servicio en un establecimiento comercial","Me negaron estar sobre sentado con mi pareja en un mueble de la plaza",2018-03-16,"15:00:00",2020-07-23 21:01:00,"Tamaulipas","Tampico","Privado","Restaurante",22.2638792,-97.860819,"Si","Instancia privada",1,,,,,,,,,234
"Personal","Personal","Determinada","De 26 a 30 años","Hombre","Hombre cis","Gay","Un poco masculina","Persona no identificada","Verbal","La víctima fue agredida verbalmente","Iba caminando por la calle, con mi pareja, y 4 personas en un coche se orillaron y nos empezaron a gritar “pinches jotos” “nos los vamos a putear” mientras se bajaban del coche en unas calles por av Chapultepec.",2019-09-19,"18:00:00",2020-07-22 15:19:00,"Jalisco","Guadalajara","Público","Vía pública o parque público",20.6717775,-103.3630608,"No",,,"Creo que no habrá consecuencias de la denuncia",,,,,,,,235
"Personal","Personal","Determinada","De 31 a 35 años","Hombre","Hombre cis","Gay","Neutra","Pareja","Física","La víctima fue agredida físicamente","Mi pareja ha maltratado últimamente con agresiones físicas, como golpes, y agresiones verbales.",2020-07-20,"17:00:00",2020-07-21 22:41:00,"Ciudad de México","Xochimilco","Privado","Casa ajena",19.1952858,-99.1180103,"No",,,"No sabía en dónde denunciarlo",,,,,,,,236
"Personal","Personal","Determinada","De 26 a 30 años","Hombre","Hombre cis","Gay","Un poco femenina","Pareja","Física","La víctima fue agredida físicamente","Fue una discusión que terminó en golpes y agresiones por parte de mi esposo, puse una denuncia en la fiscalía.",2020-07-14,"18:00:00",2020-07-20 21:36:00,"Ciudad de México","Miguel Hidalgo","Privado","Casa propia o casa familiar",19.4565991,-99.1964383,"Si","Autoridad gubernamental",4,,,,,,,,,237
"Testiga","Solidaria","Determinada","De 26 a 30 años","Hombre","Mujer trans","No reportada","Muy femenina","Persona no identificada","Verbal","La víctima fue agredida verbalmente","El agresor compartió y comparte constantemente 'memes' vía facebook en los que se burla de las mujeres transgénero. En estas imágenes, el agresor plantea abiertamente que las mujeres trans son hombres.",2020-07-20,"11:00:00",2020-07-20 18:55:00,"Chihuahua","Chihuahua","Redes sociales o medios de comunicación","Redes sociales",,,"No",,,"Me acabó de enterar del caso",,,,,,,,238
"Personal","Personal","Determinada","De 36 a 40 años","Hombre","Hombre cis","Pansexual","Masculina","Doctora, psicóloga, enfermera o personal de salud","Impedimento de entrada, negación de servicios o derechos","La víctima fue negada en la prestación de servicios de salud","Luego de una prueba dos días antes y una más ese día y que salieran saludables, cuando el médico comenzó a preguntar por su orientación sexual también comenzó a indagar sobre cosas innecesarias. Le hice saber que conocía de procesos de salud porque, como psicoterapeuta que acompaña personas con VIH para una institución (Checcos), entendía de los periodos necesarios para las pruebas. Sin embargo, comenzó a ser prejuicioso el médico que me atendió y me negó poder donar la sangre.",2020-01-30,"21:00:00",2020-07-17 03:42:00,"Jalisco","Zapopan","Privado","Hospital o clínica privada",20.6672097,-103.4092685,"Si","Autoridad gubernamental",1,,,,,,,,,239
"Personal","Personal","Determinada","De 36 a 40 años","Mujer","Persona no binaria","Pansexual","Un poco femenina","Empleada de establecimiento comercial o profesionista","Psicológica","La víctima fue agredida psicológicamente","Llegué con mi novia también no binaria , ambas aparentemente parecemos mujeres, al principio nos atendieron bien, estábamos en una pequeña mesa cerca de la barra, nos dimos un beso y el señor que despacha los pulques en la barra, nos vio despectivamente. Después de eso, ya nos atendió grosero, nos aventaba el vaso al comprar más pulque, al preguntarle sobre otros curados nos gritó que ya no tenía de ningún sabor. Decidimos irnos; al pagar ni siquiera nos miró y solo aventó el cambio en la mesa de manera agresiva. Jamás volvimos a frecuentar ese emblemático lugar.",2019-11-21,"14:00:00",2020-07-12 15:46:00,"Ciudad de México","Cuauhtémoc","Privado","Centro comercial o establecimiento comercial",19.4302506,-99.1427258,"No",,,"No sabía en dónde denunciarlo",,,,,,,,240
"Testiga","Solidaria","Determinada","De 26 a 30 años","Hombre","Hombre cis","Gay","Muy femenina","Vecina","Física","La víctima fue agredida físicamente","A un hombre gay lo persiguieron por la calle a gritos y golpes trabajadores de un taller mecánico cerca de su casa. Le dieron dos disparos de arma de fuego. Uno en la pierna y otro en la cabeza, el cual lo dejó inconsciente. Está estable y sobrevivió. En dos hospitales lo rechazaron por su expresión de género hasta que pudo ser atendido en uno tercero. No tiene recursos para ser atendido por un neurólogo. Se requiere apoyo de la comunidad. La notica fue nacional pero no se ha hecho viral, al parecer por la naturaleza LGBT del hecho.",2020-07-07,"21:00:00",2020-07-09 21:54:00,"Puebla","Tehuacán","Público","Vía pública o parque público",18.4665063,-97.4003801,"No",,,"No conozco a la víctima ni sus familiares",,,,,,,,241
"Testiga","Solidaria","Determinada","De 18 a 25 años","Hombre","Hombre cis","Gay","Neutra","Empleada de establecimiento comercial o profesionista","Impedimento de entrada, negación de servicios o derechos","La víctima fue impedida de ingresar o se le negó la venta o prestación de un servicio en un establecimiento comercial","Iban dos 2 chicos que eran pareja tomados de la mano cuando un guardia les ordenó que se soltaran porque estaba prohibido demostrarse afecto físico entre parejas siendo que había otras parejas heterosexual es realizando las mismas acciones, al indicar al empleado que se trataba de un acto de discriminación, éste basó su orden en que existía un reglamento de convivencia (el cual no se les quiso mostrar) y que el el lugar tenía un ambiente familiar y que las familias no estaban preparadas para ver a dos personas del mismo sexo mostrándose afecto de manera pública.",2020-07-03,"18:00:00",2020-07-04 23:59:00,"Coahuila","Saltillo","Privado","Centro comercial o establecimiento comercial",25.4558896,-100.9819287,"No",,,"Se les proporcionó un número de teléfono de plaza para que pudieran hablar y aclarar la situación sin embargo no hubo respuesta por parte de la administración.",,,,,,,,242
"Personal","Personal","Determinada","De 36 a 40 años","Hombre","Hombre cis","Gay","Neutra","Patrona o fuente de ingreso privada","Laboral","La víctima fue sancionada o despedida injustificadamente","Sufrí discriminación por ser homosexual. La compañía farmacéutica en la que trabajaba ordenó mi despido por este hecho.",2019-03-08,"20:00:00",2020-07-04 16:25:00,"Estado de México","Toluca","Privado","Empresa u oficina privada",19.2865922,-99.5633056,"Si","Autoridad gubernamental",1,,,,,,,,,243
"Personal","Personal","Determinada","De 18 a 25 años","Mujer","Mujer cis","Lesbiana","Un poco femenina","Persona no identificada","Psicológica","La víctima fue agredida psicológicamente","Iba en el metro en el vagón de mujeres con mi novia. Nos besamos y una señora nos gritó que no nos besáramos, que había niños presentes. La madre de los niños le gritó que se callara y la ofendió verbalmente; sin embargo, un par de mujeres se acercaron a la mujer que nos gritó que nos dejáramos de besar y se empezaron a quejar de nuestras muestras de afecto en público. Tratamos de no hacer caso, pero nos hicieron sentir muy tristes, enojadas y sobre todo incómodas.",2019-11-20,"18:00:00",2020-07-04 03:23:00,"Ciudad de México","Coyoacán","Público","Transporte público",19.353717345169,-99.133830523218,"No",,,"Creo que no habrá consecuencias de la denuncia",,,,,,,,244
"Personal","Personal","Determinada","De 18 a 25 años","Hombre","Hombre cis","Gay","Un poco femenina","Persona no identificada","Verbal","La víctima fue agredida verbalmente","Nos acosaron con violencia verbal a mi novio y a mí",2017-07-15,"13:00:00",2020-07-04 02:50:00,"Puebla","Cuautlancingo","Público","Centro deportivo o centro comunitario público",19.1000355,-98.2638413,"No",,,"No sabía en dónde denunciarlo",,,,,,,,245
"Personal","Personal","Determinada","De 41 a 50 años","Hombre","Hombre cis","Gay","Masculina","Persona no identificada","A la intimidad","La víctima fue expuesta en su vida privada o datos personales","Publicaron mis fotos personales junto con mi cuenta de Instagram y preguntando que sabían de mí, y detalles de cómo habían sido sus relaciones sexuales conmigo, escondiéndose en perfiles anónimos.",2020-07-02,"19:00:00",2020-07-03 23:49:00,"Nuevo León","Monterrey","Redes sociales o medios de comunicación","Redes sociales",,,"Si","Instancia privada",3,,,,,,,,,246
"Personal","Personal","Determinada","De 31 a 35 años","Mujer","Mujer cis","Lesbiana","Neutra","Vecina","Verbal","La víctima fue agredida verbalmente","La administradora del condominio en el que vivo, la cual es mi vecina, me agrede de forma verbal y física, recibo burlas y hace que los demás vecinos me agredan (hombres y mujeres)",2020-03-20,"17:00:00",2020-07-02 02:21:00,"Ciudad de México","Iztapalapa","Privado","Casa propia o casa familiar",19.3498696,-99.0722206,"Si","Autoridad gubernamental",4,,,,,,,,,247
